Id2,Total; Estimate; Total population,Male; Estimate; Total population,Female; Estimate; Total population,Male; Estimate; AGE - Under 5 years,Male; Estimate; AGE - 45 to 49 years,Male; Estimate; AGE - 50 to 54 years,Male; Estimate; AGE - 55 to 59 years,Male; Estimate; SELECTED AGE CATEGORIES - 5 to 14 years,Male; Estimate; SELECTED AGE CATEGORIES - 15 to 44 years,Male; Estimate; SELECTED AGE CATEGORIES - 60 years and over,Female; Estimate; AGE - Under 5 years,Female; Estimate; AGE - 45 to 49 years,Female; Estimate; AGE - 50 to 54 years,Female; Estimate; AGE - 55 to 59 years,Female; Estimate; SELECTED AGE CATEGORIES - 5 to 14 years,Female; Estimate; SELECTED AGE CATEGORIES - 15 to 44 years,Female; Estimate; SELECTED AGE CATEGORIES - 60 years and over,Male; Estimate; SUMMARY INDICATORS - Median age (years),Female; Estimate; SUMMARY INDICATORS - Median age (years),Number of establishments,Paid employees for pay period including March 12 (number),"First-quarter payroll ($1,000)","Annual payroll ($1,000)"
44319,22592,11419,11173,4.2,7.3,8.7,9.4,9.4,36.2,24.8,4.5,6.5,8.1,8.4,9.2,34.9,28.5,45.1,45.8,582,6810,43116,196189
73067,2146,1171,975,2.8,7.9,8.4,7.9,13.1,39.1,20.8,5.2,8.1,9.3,8.1,11.1,31.7,26.5,41.4,45.7,33,205,1724,6045
1851,30022,14858,15164,8.1,7.8,7.3,6.3,11.2,46.1,13,6.1,7.4,6.8,6.4,13.6,43.6,16.1,32.8,34.4,450,8568,147660,551236
67335,3332,1803,1529,7,6.2,8.8,9.2,12.9,34.1,22,2,5.6,6.1,8.6,13.7,33.6,30.3,41.4,45.8,52,491,2852,12186
72524,280,162,118,17.3,12.3,0,13,15.4,30.9,11.1,0,16.1,0,0,0,49.2,34.7,30.4,46.1,9,93,470,2592
35901,19573,9359,10214,6.9,6.3,6.2,7.8,13.9,38.8,20.1,5.8,7.4,5.9,8.3,9.9,36.4,26.3,38.2,43.5,714,9219,66462,289032
8752,2367,1229,1138,4.4,3.4,6,9.3,7.9,23,46,0,8.8,5.7,8.5,3.8,25,48.2,58.8,58.4,58,273,1705,10276
35063,3900,1945,1955,6.4,6.9,8.3,9.2,12.6,32.4,24.2,3.7,7.1,10.5,4.8,13.5,29,31.5,42.8,47.5,13,47,263,1146
48114,20600,10152,10448,4.3,7.8,10,9.1,13.3,34.4,21.1,4.1,8.1,8.6,9.2,12.8,33.3,24,43.2,44.9,505,4086,41436,188834
20037,15687,7384,8303,1.5,4,2.5,4.6,0,71.7,15.7,1.4,3,2.8,1.6,1,74.5,15.6,30.7,24.3,829,25487,609829,2389256
54421,3270,1583,1687,5.9,7.3,8.1,6.4,18.6,34.4,19.3,7.5,5.9,7.8,4.4,16.7,30.7,27,36.8,40.5,71,997,8410,34853
79070,10333,5282,5051,9.8,6,6.6,6.3,18.3,40.8,12.2,8.2,7.5,5.3,5.7,18.4,40.2,14.7,30.4,32.5,348,3862,53937,200034
49676,3441,1736,1705,6,5.6,6,8.7,10.5,31,32,3,8.3,7.8,7.1,8.3,33.7,31.7,48.4,46.9,51,312,2928,12681
3583,933,424,509,3.8,8.3,11.3,8,8.3,22.6,37.7,3.5,11.2,10.2,10.4,8.1,21.2,35.4,52.3,53.8,25,175,1459,9473
54454,1442,742,700,5.3,8.1,9.7,11.6,11.9,35.2,18.3,6.9,5.3,8.1,11.1,15.1,37.4,16,42.5,38.5,17,92,548,2438
8019,1012,516,496,3.1,11.4,12.2,6.2,5.6,43.4,18,4.2,9.1,9.3,6.3,10.1,36.1,25,42.3,44.7,14,45,439,2337
